receptor activity	receptor binding	binding	protein binding	nucleic acid binding	catalytic activity	ubiquitin-protein ligase activity	ligase activity	DNA binding	transcription factor activity	transcription cofactor activity	transcription regulator activity	growth factor activity	enzyme inhibitor activity	serine-type endopeptidase inhibitor activity	enzyme regulator activity	protease inhibitor activity	protein kinase activity	non-membrane spanning protein tyrosine kinase activity	kinase activity	transferase activity	single-stranded DNA binding	enzyme activator activity	kinase regulator activity	kinase activator activity	DNA replication origin binding	RNA binding	mRNA binding	DNA helicase activity	helicase activity	hydrolase activity	DNA primase activity	DNA-directed RNA polymerase activity	nucleotidyltransferase activity	nuclease activity	hydrolase activity, acting on ester bonds	chromatin binding	phosphoprotein phosphatase activity	phosphoric monoester hydrolase activity	endoribonuclease activity	transporter activity	transmembrane transporter activity	cation transmembrane transporter activity	transferase activity, transferring glycosyl groups	isomerase activity	intramolecular transferase activity	phosphorylase activity	peptidase activity	metallopeptidase activity	amino acid transmembrane transporter activity	acyltransferase activity	oxidoreductase activity	lyase activity	carboxy-lyase activity	deaminase activity	hydro-lyase activity	racemase and epimerase activity	carbohydrate transmembrane transporter activity	ATPase activity, coupled to transmembrane movement of substances	pyrophosphatase activity	ion channel activity	anion channel activity	hydrogen ion transmembrane transporter activity	voltage-gated ion channel activity	voltage-gated potassium channel activity	cation channel activity	adenylate cyclase activity	guanylate cyclase activity	phosphoric diester hydrolase activity	nucleotide phosphatase activity	deacetylase activity	carbohydrate kinase activity	nucleotide kinase activity	transaminase activity	ligand-gated ion channel activity	cyclic nucleotide-gated ion channel activity	peroxidase activity	antioxidant activity	hydrogen ion transporting ATP synthase activity, rotational mechanism	calcium ion binding	calmodulin binding	acetyltransferase activity	G-protein coupled receptor activity	structural molecule activity	structural constituent of cytoskeleton	methyltransferase activity	DNA-methyltransferase activity	carbohydrate phosphatase activity	amino acid kinase activity	translation elongation factor activity	translation factor activity, nucleic acid binding	translation regulator activity	translation initiation factor activity	small GTPase regulator activity	guanyl-nucleotide exchange factor activity	serine-type peptidase activity	protein disulfide isomerase activity	lipid binding	hydrolase activity, hydrolyzing N-glycosyl compounds	phospholipase activity	lipase activity	hydrolase activity, hydrolyzing O-glycosyl compounds	galactosidase activity	glucosidase activity	transketolase activity	lipid transporter activity	cysteine-type peptidase activity	amylase activity	glutamate receptor activity	double-stranded DNA binding	voltage-gated calcium channel activity	voltage-gated sodium channel activity	calcium-dependent phospholipid binding	GTPase activity	hormone activity	transaldolase activity	endodeoxyribonuclease activity	extracellular matrix structural constituent	RNA-directed DNA polymerase activity	RNA helicase activity	actin binding	cytoskeletal protein binding	motor activity	transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein kinase activity	phosphatase regulator activity	phosphatase inhibitor activity	transmembrane receptor protein serine/threonine kinase activity	kinase inhibitor activity	structural constituent of ribosome	microtubule binding	RNA splicing factor activity, transesterification mechanism	aspartic-type endopeptidase activity	translation release factor activity	poly(A) binding	cytokine activity	neuropeptide hormone activity	damaged DNA binding	microtubule motor activity	exoribonuclease activity	aminoacyl-tRNA ligase activity	DNA-directed DNA polymerase activity	SNAP receptor activity	hematopoietin/interferon-class (D200-domain) cytokine receptor activity	tumor necrosis factor receptor activity	tumor necrosis factor receptor binding	hematopoietin/interferon-class (D200-domain) cytokine receptor binding	centromeric DNA binding	DNA topoisomerase activity	ligand-dependent nuclear receptor activity	DNA ligase activity	RNA methyltransferase activity	transforming growth factor beta receptor activity	DNA strand annealing activity	DNA polymerase processivity factor activity	exodeoxyribonuclease activity	DNA photolyase activity	acetylcholine receptor activity	GABA receptor activity	cysteine protease inhibitor activity	structural constituent of myelin sheath	phosphatase activator activity	intermediate filament binding
peptidase activity	0	0	0	0	0	0.200976707404042	0.105579902086693	0.115525597193345	0	0	0	0	0	0	0	0	0	0.102998519710619	0.0829599553303199	0.107536980845214	0.14437978197582	0	0	0	0	0	0	0	0.0863318667682724	0.0922340907915012	0.595276528542379	0.0559539429717917	0.0748894488573421	0.0958811568461498	0.358400212957217	0.434720553055108	0	0.350832098955255	0.362708420217912	0.303034706166887	0	0	0	0.099003577640947	0.0910328973480026	0.0626181562225309	0.0616615561439604	0.89471054768001	0.704256881202498	0	0.0889418795675099	0.124064342858406	0.0931783306914725	0.0750314705537973	0.0718373125523561	0.0772413287975072	0.0796681109989805	0	0.319817879045729	0.248499401887913	0	0	0	0	0	0	0.0759852411370491	0.0718373125523561	0.270384869785635	0.275283103047904	0.262273035646396	0.0700687621320678	0.0771207049921824	0.0698542179985915	0	0	0	0	0	0	0	0.081398809749755	0	0	0	0.0876496305336828	0.0671627400238172	0.228152667267909	0.0593323785781451	0	0	0	0	0	0	0.795232266008553	0.068470877506153	0	0.286461525009538	0.279709332221163	0.324920848194692	0.29146923062194	0.228152667267909	0.274614950298477	0.0533156006866152	0	0.576214856998795	0.245849078722209	0	0	0	0	0	0.328899200172818	0	0.048406767201768	0.280901522628625	0	0.104630323877649	0.0860567200560584	0	0	0	0	0.0834492365643326	0	0	0	0	0	0	0.0912467452150817	0.636707220388034	0	0	0	0	0	0	0.275283103047904	0.0740031284896776	0.0714669047606321	0	0	0	0	0	0	0.0599815521150341	0	0.0559539429717917	0.0677059061056908	0	0	0	0.263158021305061	0.0586231001598204	0	0	0	0	0	0
metallopeptidase activity	0	0	0	0	0	0.14117159133773	0.0863604337313604	0.092902547660108	0	0	0	0	0	0	0	0	0	0.0846256046166439	0.0706120660001826	0.0876654395211574	0.110692267687896	0	0	0	0	0	0	0	0.0730402274135734	0.077220939748931	0.4476166668029	0.0500507547944697	0.0646793168116206	0.0797610033063349	0.299012676605062	0.350325126784575	0	0.293726366714628	0.30200545861634	0.259462940797528	0	0	0	0.0819099952407616	0.0763771742071341	0.0553168135530784	0.0545689567274896	0.704256881202498	0.968837819271842	0	0.0748997773513193	0.0983457183956064	0.0778817039084773	0.0647852256007232	0.0623899607173653	0.0664261411115063	0.0682130526534325	0	0.271669556403021	0.218420852028583	0	0	0	0	0	0	0.065495057847119	0.0623899607173653	0.235150554055577	0.238846645218239	0.228991025100079	0.0610516557719068	0.0663369119991817	0.0608887134847071	0	0	0	0	0	0	0	0.0694778850509681	0	0	0	0.0739812501627428	0.0588336173662329	0.202544240529959	0.0527368278803756	0	0	0	0	0	0	0.641128069413019	0.0598349997231887	0	0.247216765723354	0.242171631035951	0.275342865094673	0.250937453110891	0.202544240529959	0.238343498686226	0.0479291873976448	0	0.490744490563871	0.216370646785344	0	0	0	0	0	0.278194441972324	0	0.0439248702461975	0.243064792334587	0	0.0857240640472028	0.0728431851216116	0	0	0	0	0.0709662250175988	0	0	0	0	0	0	0.0765276515618272	0.533949265994661	0	0	0	0	0	0	0.238846645218239	0.0640171283215561	0.0621103820845917	0	0	0	0	0	0	0.0532490724935591	0	0.0500507547944697	0.0592499990157935	0	0	0	0.229665366693713	0.0521757298539017	0	0	0	0	0	0
amino acid transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.621904790071789	0.611484351457132	0.524348185639795	0	0	0	0	0	0	0.989071379504153	0	0	0	0	0	0	0	0.459934919496666	0	0	0	0	0.407022010360451	0	0.415852335299045	0.431737326962775	0	0	0	0	0	0	0	0	0	0	0	0	0.370053385001104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.484314805673948	0	0	0	0	0.386660473796583	0.378278244223948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acyltransferase activity	0	0	0	0	0	0.118701126582989	0.0773974728816679	0.0826111113152506	0	0	0	0	0	0	0	0	0	0.380360031944049	0.322822520092819	0.392585752793808	0.48237720601701	0	0	0	0	0	0	0	0.0665246266367624	0.0699751031845113	0.10164000443395	0.234732962755417	0.297864004047913	0.360608061237462	0.0711143790708469	0.0819765540894767	0	0.0699751031845113	0.0717576653152264	0.0624965135374384	0	0	0	0.369362344454264	0.0692815429017921	0.0514969441288528	0.254478048698357	0.0889418795675099	0.0748997773513193	0	0.985636670205458	0.086887370239496	0.0705172474278148	0.0596069761250675	0.0575733032414184	0.060993253422805	0.0624965135374384	0	0.0651797264371577	0.0533175463300147	0	0	0	0	0	0	0.060207344465299	0.0575733032414184	0.0570887188936589	0.0579163500951048	0.0557050388944622	0.282421933161645	0.304874061360452	0.281725068014693	0	0	0	0	0	0	0	0.920368538902413	0	0	0	0.336835520676463	0.272911684302933	0.0497002786193711	0.246498359346861	0	0	0	0	0	0	0.0818442125447459	0.0553907122130523	0	0.0597832596171174	0.0586591852466517	0.0659830591576186	0.0606098887447202	0.0497002786193711	0.0578038021761154	0.225383893848618	0	0.0643020667062187	0.0528525507154323	0	0	0	0	0	0.0666053772082164	0	0.207601261595172	0.0588584531240575	0	0.384788171923632	0.0663611315767207	0	0	0	0	0.324300964547145	0	0	0	0	0	0	0.0694053369009404	0.0694360682840591	0	0	0	0	0	0	0.0579163500951048	0.058956142158314	0.286943004807193	0	0	0	0	0	0	0.0497002786193711	0	0.0469028623685306	0.274700993147356	0	0	0	0.0558567943518381	0.0487639770660779	0	0	0	0	0	0
oxidoreductase activity	0	0	0	0	0	0.190783035684329	0.102697295186674	0.112083177495071	0	0	0	0	0	0	0	0	0	0.100253314069765	0.0811697296989423	0.104548029453257	0.139042748969285	0	0	0	0	0	0	0	0.084394854976269	0.0900265574290088	0.15024756109904	0.0551337921543295	0.0734275252233702	0.0934978495148743	0.0919211419718233	0.11091828392811	0	0.0900265574290088	0.0929987757225105	0.0780157237942718	0	0	0	0.0964645707110768	0.088881817877224	0.0615927985753622	0.0606670386240407	0.124064342858406	0.0983457183956064	0	0.086887370239496	0.909698370074315	0.0909259189315954	0.0735640511497449	0.0704910516654269	0.0756870936467672	0.0780157237942718	0	0.0822420486056352	0.0642154018060668	0	0	0	0	0	0	0.0744806521514492	0.0704910516654269	0.0697659887701266	0.0710059958057224	0.0677106123061785	0.0687873808369507	0.0755712717009065	0.0685806003188314	0	0	0	0	0	0	0	0.0796746271582125	0	0	0	0.0856537181564005	0.0659845487064026	0.0590400750132592	0.0584110136774771	0	0	0	0	0	0	0.110676138815645	0.0672467619074701	0	0.0738327399641063	0.0721257968869643	0.0835251520509443	0.0750976598382231	0.0590400750132592	0.0708368993735752	0.0525704549793764	0	0.080849658851352	0.063542094263977	0	0	0	0	0	0.0845248582499896	0	0.0477917263546803	0.0724272954990214	0	0.101798640386683	0.0841318977784301	0	0	0	0	0.0816380623856695	0	0	0	0	0	0	0.0890856675142465	0.0891363043525525	0	0	0	0	0	0	0.0710059958057224	0.0725752740832558	0.0701343625084913	0	0	0	0	0	0	0.0590400750132592	0	0.0551337921543295	0.0665087507667011	0	0	0	0.0679349611838077	0.0577234651723147	0	0	0	0	0	0
lyase activity	0	0	0	0	0	0.126369026811811	0.0805858259959883	0.0862535864727434	0	0	0	0	0	0	0	0	0	0.0790732118963928	0.0667038476798422	0.0817209976307403	0.101380724009691	0	0	0	0	0	0	0	0.0688665447804577	0.0725710012463341	0.107210353011085	0.0480550395180029	0.0613849184099857	0.0748099352207006	0.0737971140534001	0.0855620722335297	0	0.0725710012463341	0.0744900871963565	0.0645590120186287	0	0	0	0.076697258941286	0.0718253020202127	0.0528892341432769	0.0522051705880017	0.0931783306914725	0.0778817039084773	0	0.0705172474278148	0.0909259189315954	0.980703178667333	0.82420232682496	0.0593191123824617	0.843987658355222	0.0645590120186287	0	0.0674263117173706	0.0548114493764319	0	0	0	0	0	0	0.832767397450181	0.795229468690317	0.0588048253832182	0.0596833450613343	0.0573377761334005	0.0581080299093442	0.0628760104877223	0.0579604024630805	0	0	0	0	0	0	0	0.0656908404515368	0	0	0	0.0697024804694879	0.0560951962495299	0.0509958906627307	0.0505258878208988	0	0	0	0	0	0	0.0854179108949931	0.0570048083989037	0	0.0616678607394665	0.0604725074306749	0.0682863419713176	0.0625478120288723	0.0509958906627307	0.059563831919385	0.0460959778523635	0	0.0664875434552198	0.0543201513629575	0	0	0	0	0	0.0689530845748611	0	0.04238024557276	0.0606843078441032	0	0.0800314413223292	0.0686913509702295	0	0	0	0	0.0670198001069249	0	0	0	0	0	0	0.0719583621387491	0.0719913965055348	0	0	0	0	0	0	0.0596833450613343	0.060788157077409	0.0590663225279197	0	0	0	0	0	0	0.0509958906627307	0	0.0480550395180029	0.056473594206448	0	0	0	0.0574985708309941	0.670440230086378	0	0	0	0	0	0
carboxy-lyase activity	0	0	0	0	0	0.0951568636647423	0.0666455087504646	0.0704753781703399	0	0	0	0	0	0	0	0	0	0.0656075859595965	0.0568593050999883	0.0674200222435021	0.0802604292703517	0	0	0	0	0	0	0	0.0584232586219214	0.0610678049080644	0.0838708805031616	0.0427257235162716	0.0529484942781491	0.0626454925755927	0.0619337040299432	0.0700130407709785	0	0.0610678049080644	0.0624210491938413	0.0552934151998504	0	0	0	0.0639635355361139	0.0605389092304626	0.0465049841205096	0.0459752725388488	0.0750314705537973	0.0647852256007232	0	0.0596069761250675	0.0735640511497449	0.82420232682496	0.995691001061637	0.0514043540618527	0.725442369428625	0.0552934151998504	0	0.0573834168496065	0.0479846557042735	0	0	0	0	0	0	0.717137203462251	0.689124559137236	0.0510177034086339	0.0516776503755378	0.0499098106813668	0.0504924084937056	0.0540542033884988	0.0503809041956647	0	0	0	0	0	0	0	0.0561215905342283	0	0	0	0.0590237809263559	0.0489656727407797	0.0450347902960693	0.0446678507241628	0	0	0	0	0	0	0.0699164852538003	0.0496573352348145	0	0.0531588753957484	0.0522682538349079	0.0580051491472309	0.0538114620732002	0.0450347902960693	0.0515880248864526	0.0411700551863778	0	0.056702061049855	0.0476076982653216	0	0	0	0	0	0.0584855299420123	0	0.0381802803884209	0.0524264079579411	0	0.0662658854955004	0.0582971219703902	0	0	0	0	0.0570887188936589	0	0	0	0	0	0	0.0606334100905706	0.0606568629639357	0	0	0	0	0	0	0.0516776503755378	0.052503898655504	0.0512144137374106	0	0	0	0	0	0	0.0450347902960693	0	0.0427257235162716	0.0492537498219246	0	0	0	0.0500315985781166	0.593410154068037	0	0	0	0	0	0
deaminase activity	0	0	0	0	0	0.0900773893339835	0.0641133988678237	0.0676500531412736	0	0	0	0	0	0	0	0	0	0.063152278179451	0.0550058862573744	0.0648298607652443	0.076616366174527	0	0	0	0	0	0	0	0.0564682313427526	0.0589350126748865	0.0798997036305196	0.0416706503824099	0.0513376539552943	0.0604030986590939	0.0597410857746413	0.0672239303985768	0	0.0589350126748865	0.0601944088301337	0.0535391011151838	0	0	0	0.0616275496158067	0.0584422661775954	0.0452577294969344	0.0447558971114772	0.0718373125523561	0.0623899607173653	0	0.0575733032414184	0.0704910516654269	0.0593191123824617	0.0514043540618527	0.996939986261163	0.0524320580265203	0.0535391011151838	0	0.0554962390607624	0.0466579015824836	0	0	0	0	0	0	0.0518502380531948	0.0498847495913173	0.0495205402272439	0.0501420860395096	0.0484760521142105	0.049025473910087	0.0523764490050146	0.0489203477263193	0	0	0	0	0	0	0	0.0543151896753561	0	0	0	0.0570290424477945	0.047584895236287	0.0438641572116246	0.0435159723932192	0	0	0	0	0	0	0.0671349097249083	0.0482378394165432	0	0.0515354051297958	0.0506979234902365	0.0560775426480041	0.0521485106561924	0.0438641572116246	0.0500577033823619	0.0401895333444219	0	0.0548587130988773	0.0463014239371614	0	0	0	0	0	0.0565264027272246	0	0.0373355378101546	0.0508467037799725	0	0.063761998157846	0.0563503867952558	0	0	0	0	0.0552205593681975	0	0	0	0	0	0	0.0585303299317758	0.0585521837933681	0	0	0	0	0	0	0.0501420860395096	0.0509195917125314	0.0497058536872445	0	0	0	0	0	0	0.0438641572116246	0	0.0416706503824099	0.047856909355874	0	0	0	0.0485909352629948	0.0431332209931763	0	0	0	0	0	0
hydro-lyase activity	0	0	0	0	0	0.0987394960445882	0.0683832776543522	0.072421528216689	0	0	0	0	0	0	0	0	0	0.0672909654773628	0.0581193722319134	0.0691989554895917	0.0827942318889507	0	0	0	0	0	0	0	0.0597544084768411	0.0625236935444947	0.0866417076028802	0.0434333167013306	0.0540395234065397	0.0641785229767286	0.0634316787376855	0.0719333921511411	0	0.0625236935444947	0.0639429808958846	0.0564843073805983	0	0	0	0.0655625768954928	0.0619693934057027	0.0473445223179927	0.0467956255770167	0.0772413287975072	0.0664261411115063	0	0.060993253422805	0.0756870936467672	0.843987658355222	0.725442369428625	0.0524320580265203	0.994629363642041	0.0564843073805983	0	0.0586670830945259	0.0488789814880349	0	0	0	0	0	0	0.732069547747146	0.702901914275733	0.0520298530487227	0.0527164215817338	0.0508780611059602	0.0514836201149931	0.0551917651267926	0.0513677000112749	0	0	0	0	0	0	0	0.0573488197229489	0	0	0	0.0603827549989638	0.0498972952026188	0.0458216366984426	0.0454418168694887	0	0	0	0	0	0	0.0718314711061163	0.0506157203348863	0	0.0542586817996599	0.0533311483046007	0.0593171003490819	0.0549387233176063	0.0458216366984426	0.0526231600111784	0.0418266627555999	0	0.0579550916094278	0.0484878990937334	0	0	0	0	0	0.0598195513590169	0	0.0387443315618867	0.0534958102068882	0	0.0679836584414612	0.0596224648904775	0	0	0	0	0.0583590882719111	0	0	0	0	0	0	0.0620684166354408	0.0620929929852165	0	0	0	0	0	0	0.0527164215817338	0.0535764969151528	0.0522344615978646	0	0	0	0	0	0	0.0458216366984426	0	0.0434333167013306	0.0501964719806477	0	0	0	0.0510046262011586	0.60359785197893	0	0	0	0	0	0
racemase and epimerase activity	0	0	0	0	0	0.102740117974388	0.0702785393462043	0.0745507265125043	0	0	0	0	0	0	0	0	0	0.0691253511724628	0.0594827252292103	0.0711403421151217	0.0855887924478114	0	0	0	0	0	0	0	0.0611965008731893	0.0641043170957402	0.0897068390362359	0.0441902294074608	0.0552162483248178	0.0658450383240897	0.0650591415691054	0.0740335685279043	0	0.0641043170957402	0.0655971284673626	0.0577711800919051	0	0	0	0.0673027208686752	0.885445022900928	0.672502818862024	0.0476754512175288	0.0796681109989805	0.0682130526534325	0	0.0624965135374384	0.0780157237942718	0.0645590120186287	0.0552934151998504	0.0535391011151838	0.0564843073805983	0.993255479922563	0	0.0600565605252831	0.0498396953827311	0	0	0	0	0	0	0.0558096579850924	0.0535391011151838	0.053119800549433	0.0538356334183832	0.0519198030087384	0.0525505675727655	0.0564197759248451	0.0524297986578575	0	0	0	0	0	0	0	0.058675848709178	0	0	0	0.0618557092561328	0.0508988660056213	0.0466648886923763	0.0462710207236219	0	0	0	0	0	0	0.0739256136704588	0.719914771190091	0	0.0554450753062465	0.0544768982679983	0.0607379113501247	0.056155375511338	0.0466648886923763	0.0537383734279072	0.0425281606296037	0	0.0593106582911495	0.0494331524304218	0	0	0	0	0	0.0612648277663775	0	0.0393455050809786	0.05464872265841	0	0.0698565304041216	0.0610581192502546	0	0	0	0	0.0597338438989183	0	0	0	0	0	0	0.0636258181452859	0.0636516435490706	0	0	0	0	0	0	0.0538356334183832	0.0547329274116058	0.0533330889450934	0	0	0	0	0	0	0.650472981431826	0	0.0441902294074608	0.0512102113363726	0	0	0	0.0520516107865508	0.0458385110878334	0	0	0	0	0	0
carbohydrate transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.598668369923887	0.589006019222342	0.507732667761801	0	0	0	0	0	0	0.459934919496666	0	0	0	0	0	0	0	0.99163179916318	0	0	0	0	0.39693876320225	0	0.405332484959688	0.420409385230878	0	0	0	0	0	0	0	0	0	0	0	0	0.361699823328073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.470105206980391	0	0	0	0	0.377549543302296	0.369553598407377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATPase activity, coupled to transmembrane movement of substances	0	0	0	0	0	0.110197725066755	0.0736898165457856	0.0784007083079694	0	0	0	0	0	0	0	0	0	0.0724229702945618	0.0619083690516777	0.0746378768468455	0.0907023387661052	0	0	0	0	0	0	0	0.0637669501982586	0.066930485676967	0.36264794285373	0.0455150846244239	0.0573003105427377	0.0688303511692047	0.258546200291961	0.296039106823305	0	0.2545844228814	0.260780720735459	0.228437977805272	0	0	0	0.0704248086312856	0.0662956922765715	0.0498288240391303	0.0492211812815833	0.319817879045729	0.271669556403021	0	0.0651797264371577	0.0822420486056352	0.0674263117173706	0.0573834168496065	0.0554962390607624	0.0586670830945259	0.0600565605252831	0	0.990133016923749	0.19601085268577	0	0	0	0	0	0	0.0579396197694087	0.0554962390607624	0.209378675111592	0.212303959296565	0.204481237131317	0.0544348286663145	0.0585974708455092	0.0543052545435361	0	0	0	0	0	0	0	0.0610348267932021	0	0	0	0.0644830233286615	0.0526645513192155	0.18312892417812	0.0477256341687146	0	0	0	0	0	0	0.295585329617708	0.0534655120224096	0	0.218891473785108	0.214926947570387	0.240657877868479	0.221803375909219	0.18312892417812	0.211906333951133	0.0437538478599912	0	0.234772850461264	0.194358176257636	0	0	0	0	0	0.242833439456651	0	0.0403923467970877	0.215630157418433	0	0.0732259804038625	0.0636167137583346	0	0	0	0	0.0621804328678829	0	0	0	0	0	0	0.0664090370943528	0.252707998015116	0	0	0	0	0	0	0.212303959296565	0.0567799884211471	0.0552749210556773	0	0	0	0	0	0	0.0481447674528461	0	0.0455150846244239	0.0529979432517993	0	0	0	0.205018779977549	0.0472656388152738	0	0	0	0	0	0
pyrophosphatase activity	0	0	0	0	0	0.080077159924699	0.0588797977342314	0.0618492504527645	0	0	0	0	0	0	0	0	0	0.0580681927198185	0.0511083802415593	0.0594835129580622	0.0692595986707662	0	0	0	0	0	0	0	0.0523684611979091	0.0544833457678199	0.273607518649846	0.0393947455940223	0.0479265299004933	0.055735667357435	0.209856731286579	0.233901325450569	0	0.207239063016713	0.211326495083661	0.189575945210329	0	0	0	0.0567765688360632	0.0540619611462984	0.0425856952810092	0.0421410793166016	0.248499401887913	0.218420852028583	0	0.0533175463300147	0.0642154018060668	0.0548114493764319	0.0479846557042735	0.0466579015824836	0.0488789814880349	0.0498396953827311	0	0.19601085268577	0.998626116280522	0	0	0	0	0	0	0.0483729636687696	0.0466579015824836	0.176260819585722	0.178329322163059	0.172777243034813	0.0459053582581408	0.0488306503575102	0.045813174728556	0	0	0	0	0	0	0	0.0505115651684712	0	0	0	0.0528504476408418	0.044639942974774	0.157281945157508	0.0410400228127702	0	0	0	0	0	0	0.233617958222152	0.0452140811584842	0	0.182954194773297	0.180176326313052	0.197915889648076	0.184984009201211	0.157281945157508	0.178048692499631	0.0380684225449641	0	0.193918283943129	0.165494007071273	0	0	0	0	0	0.199384937074911	0	0.0354980984643805	0.180670260369463	0	0.0585832927468675	0.0522670918726203	0	0	0	0	0.0512936580783032	0	0	0	0	0	0	0.0541373101727625	0.205993956619237	0	0	0	0	0	0	0.178329322163059	0.0475619808811151	0.0465013649570227	0	0	0	0	0	0	0.0413495722105282	0	0.0393947455940223	0.04487924526674	0	0	0	0.173160863936188	0.040699417053463	0	0	0	0	0	0
ion channel activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.973896209329919	0.726708292603196	0	0.799287935856696	0.754239246197574	0.785826218135527	0	0	0	0	0	0	0	0	0.829107066119545	0.676698724002898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.696769994968118	0.680404868505296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anion channel activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.726708292603196	0.997814275900831	0	0.624852342743267	0.596977946551119	0.616594853714791	0	0	0	0	0	0	0	0	0.642929145275408	0.547337285227516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.560394143740024	0.549759358309309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogen ion transmembrane transporter activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.512026790766187	0.536108227114373	0.471417668243276	0	0	0	0	0	0	0.407022010360451	0	0	0	0	0	0	0	0.39693876320225	0	0	0	0	0.997502029600949	0	0.386114457299641	0.39895115411493	0	0	0	0	0	0	0	0	0	0	0	0	0.917160651130302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414966625215237	0	0	0	0	0.362200718369801	0.355255313862946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
voltage-gated ion channel activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.799287935856696	0.624852342743267	0	0.994691812902017	0.946742237057022	0.668066883505409	0	0	0	0	0	0	0	0	0.699091961556782	0.587518993889021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88435576447855	0.866335127278031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
voltage-gated potassium channel activity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.526079621311599	0.550612893382826	0.753537160746435	0	0	0	0	0	0	0.415852335299045	0	0	0	0	0	0	0	0.405332484959688	0	0	0.754239246197574	0.596977946551119	0.386114457299641	0.946742237057022	0.996877537001187	0.961685203730745	0	0	0	0	0	0	0	0	0.664384444756529	0.56281008539373	0	0	0.354474135773855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424148918889473	0	0	0	0	0.871491826010893	0.85448357598072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
