immune system process	immune response	B cell mediated immunity	natural killer cell activation	response to stimulus	proteolysis	cellular defense response	mesoderm development	metabolic process	cellular process	protein metabolic process	mammary gland development	developmental process	primary metabolic process	system development	transport	intracellular protein transport	endocytosis	receptor-mediated endocytosis	cell communication	cell adhesion	signal transduction	cell surface receptor linked signal transduction	blood coagulation	response to external stimulus	protein transport	vesicle-mediated transport	cell-cell adhesion	macrophage activation	phagocytosis	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	transcription	regulation of transcription from RNA polymerase II promoter	transcription from RNA polymerase II promoter	ectoderm development	nervous system development	carbohydrate metabolic process	polysaccharide metabolic process	glycogen metabolic process	protein modification process	protein amino acid phosphorylation	cell cycle	mitosis	intracellular signaling cascade	segment specification	pattern specification process	embryonic development	skeletal development	DNA metabolic process	DNA replication	DNA repair	DNA recombination	cytokinesis	chromosome segregation	meiosis	anatomical structure morphogenesis	cellular component organization and biogenesis	cellular structure morphogenesis	protein complex assembly	nuclear mRNA splicing, via spliceosome	transcription initiation from RNA polymerase II promoter	RNA elongation from RNA polymerase II promoter	mRNA processing	RNA metabolic process	reproduction	gamete generation	spermatogenesis	MAPKKK cascade	phosphate metabolic process	apoptosis	induction of apoptosis	response to stress	transmembrane receptor protein serine/threonine kinase signaling pathway	I-kappaB kinase/NF-kappaB cascade	JNK cascade	female gamete generation	establishment and/or maintenance of chromatin architecture	organelle organization and biogenesis	general transcription from RNA polymerase II promoter	tRNA metabolic process	rRNA metabolic process	RNA catabolic process	ion transport	cation transport	protein amino acid glycosylation	carbohydrate transport	lipid metabolic process	steroid metabolic process	monosaccharide metabolic process	purine base metabolic process	amino acid and derivative metabolic process	amino acid metabolic process	nitrogen compound metabolic process	amino acid biosynthetic process	pyrimidine base metabolic process	amino acid transport	generation of precursor metabolites and energy	tricarboxylic acid cycle	amino acid catabolic process	vitamin metabolic process	vitamin catabolic process	system process	gluconeogenesis	cell-cell signaling	synaptic transmission	neurological system process	oxidative phosphorylation	respiratory electron transport chain	sulfur metabolic process	phosphate transport	anion transport	extracellular transport	neurotransmitter secretion	phospholipid metabolic process	G-protein coupled receptor protein signaling pathway	sensory perception	visual perception	calcium-mediated signaling	cyclic nucleotide metabolic process	fatty acid metabolic process	fatty acid beta-oxidation	acyl-CoA metabolic process	coenzyme metabolic process	cellular calcium ion homeostasis	homeostatic process	vitamin transport	oxygen and reactive oxygen species metabolic process	lipid transport	nucleobase, nucleoside, nucleotide and nucleic acid transport	vitamin biosynthetic process	translation	transmembrane receptor protein tyrosine kinase signaling pathway	dorsal/ventral axis specification	nerve-nerve synaptic transmission	pentose-phosphate shunt	porphyrin metabolic process	tRNA aminoacylation for protein translation	regulation of carbohydrate metabolic process	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	glycolysis	response to toxin	protein amino acid acetylation	cholesterol metabolic process	nuclear transport	protein amino acid lipidation	disaccharide metabolic process	fatty acid biosynthetic process	ferredoxin metabolic process	lysosomal transport	endoderm development	negative regulation of apoptosis	nitric oxide biosynthetic process	nitric oxide mediated signal transduction	peroxisomal transport	polyphosphate catabolic process	muscle contraction	action potential propagation	cytokine and chemokine mediated signaling pathway	nitrogen utilization	sensory perception of chemical stimulus	blood circulation	regulation of vasoconstriction	sensory perception of pain	regulation of biological process	sensory perception of taste	fertilization	cell-matrix adhesion	protein folding	protein localization	asymmetric protein localization	localization	response to pheromone	angiogenesis	cell motility	unsaturated fatty acid biosynthetic process	bile acid metabolic process	heart development	exocytosis	synaptic vesicle exocytosis	defense response to bacterium	complement activation	transcription, RNA-dependent	regulation of liquid surface tension	muscle development	neuromuscular synaptic transmission	JAK-STAT cascade	protein targeting	cell proliferation	mRNA capping	anterior/posterior axis specification	cell differentiation	sensory perception of sound	RNA localization	hemopoiesis	sex determination	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	antigen processing and presentation	mRNA polyadenylation	mRNA 3'-end processing	response to interferon-gamma	mitochondrial transport	mitochondrion organization and biogenesis	gut mesoderm development	protein amino acid methylation	mRNA transcription	termination of RNA polymerase II transcription	DNA catabolic process	pinocytosis	protein amino acid ADP-ribosylation	catabolic process	cellular glucose homeostasis	regulation of amino acid metabolic process	chromatin remodeling	regulation of phosphate metabolic process
protein metabolic process	0	0	0	0	0	0.536571961727375	0	0	0.172144179198141	0	0.697657700832684	0	0	0.203545368007498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131892160340847	0.107469438119797	0	0.0982960830648294	0	0	0.089895336557887	0.0705853268270512	0.0543066696067499	0.483648501311825	0.378203239370931	0	0	0	0	0	0	0	0.0761189159464783	0.0644009024471338	0.0666456556273721	0.0569274160980412	0	0	0	0	0	0	0.26761601268622	0.0699449602896348	0.0527258619808663	0.0449869650433019	0.0727390320029791	0.0790500657128886	0	0	0	0	0.0540910084021768	0	0	0	0	0	0	0	0	0	0.0518031014611483	0.0561306225369831	0.0556441482483896	0.0545391769405485	0	0	0.333990217600972	0	0.0898585146497639	0.0648534904993098	0.0615337788337011	0.0565345728062883	0.0759364367390352	0.0767366720170689	0.047232680778375	0.0628423048686093	0.0527258619808663	0	0	0	0.0548428942952212	0.046165780056503	0.0253331254665746	0	0.0479179697269891	0	0	0	0	0	0.0520616770699074	0	0	0	0	0.0649347015699634	0	0	0	0	0.0529892899838229	0.0610920656305699	0.0488461587551319	0.0453658975640369	0.0464960466364027	0	0	0	0.0433855498102411	0	0	0.0417306607540188	0.377432743637393	0	0	0	0.0395169045227373	0.0405314683180083	0.256776057913311	0	0	0.0474909912914779	0	0.230851442095337	0.0548428942952212	0	0.222017431303158	0.0361700667188169	0.0455490956526092	0.0355383569820723	0	0	0	0.037113014870475	0	0	0.0270503110617671	0	0	0	0.0270503110617671	0	0	0	0	0	0	0	0	0.301578551677831	0	0	0	0	0	0	0.036892588060272	0.034288602368672	0	0	0	0	0	0.0747368150644016	0	0	0	0	0	0	0.0353233849826338	0	0	0	0	0	0	0	0	0.052365382346492	0.0526367575007818	0	0	0	0	0.203275156549691	0.0455490956526092	0.0380932597938037	0.0413344943096042	0	0.193709512818232	0.031292598446237	0	0	0	0
mammary gland development	0	0	0	0	0	0	0	0.425582230291867	0	0	0	0.980410950697897	0.477867768282265	0	0.584254171766764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421061694220987	0.543800004055217	0	0	0	0	0	0	0	0	0.300601809141973	0.329468091851098	0.334991430817436	0.461024174197332	0	0	0	0	0	0	0	0.385601201974429	0	0.385601201974429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301725609586206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256627160424201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443051606906457	0	0	0	0.44711493021233	0	0	0	0	0	0	0.460355506559964	0	0	0	0	0	0.260208433524608	0.247861086584869	0	0	0.354534863302959	0.243733157346012	0	0	0	0	0	0	0	0.279072491326675	0	0	0	0	0	0	0	0	0	0	0
developmental process	0	0	0	0	0	0	0	0.669107482116294	0	0	0	0.477867768282265	0.80812316539867	0	0.729950132235704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.658000833072016	0.651258255947273	0	0	0	0	0	0	0	0	0.404618152209466	0.45871531839438	0.469493041994866	0.508975573160663	0	0	0	0	0	0	0	0.575321378455693	0	0.575321378455693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.406656878489261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.328784089153762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.480972206321202	0	0	0	0.487221275626162	0	0	0	0	0	0	0.507916700046911	0	0	0	0	0	0.334685573218644	0.314532274526382	0	0	0.355652528257838	0.307914609338575	0	0	0	0	0	0	0	0.366554888198908	0	0	0	0	0	0	0	0	0	0	0
primary metabolic process	0	0	0	0	0	0.141926846952074	0	0	0.318395152965618	0	0.203545368007498	0	0	0.367519319475229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185529185858435	0.140587523758745	0	0.125291598766678	0	0	0.111955964074444	0.0835053113918798	0.0616447550914253	0.124119696202002	0.0916242844343439	0	0	0	0	0	0	0	0.0913627925753629	0.0749863048205366	0.0780471678717487	0.0650437628850498	0	0	0	0	0	0	0.0612370465929334	0.0826105496968012	0.059615857664076	0.0499084258703556	0.0865365345038966	0.0956183226684047	0	0	0	0	0.0632150078557137	0	0	0	0	0	0	0	0	0	0.0584388666803513	0.0640056408880666	0.0633738564561721	0.0619445152406954	0	0	0.0790570136383305	0	0.111898857937824	0.0756006112149915	0.0711274362582917	0.064531420087846	0.0911000330448494	0.0922542015182562	0.0540439788717874	0.0728816066214811	0.059615857664076	0	0	0	0.0623366060608998	0.0526517165021882	0.0271697228388635	0	0.0535416934517186	0	0	0	0	0	0.0604607569238645	0	0	0	0	0.0757109909301296	0	0	0	0	0.0599528513703959	0.0705379119199824	0.0547031748008566	0.0503752320619915	0.0530817339306074	0	0	0	0.0490657482483794	0	0	0.0469596817100411	0.0914002256120487	0	0	0	0.0432644562162748	0.0454465816472836	0.0584388666803513	0	0	0.0530091691901973	0	0.0518679649910605	0.0623366060608998	0	0.0496670435387312	0.0392846945159611	0.0506012223310187	0.0392614478220108	0	0	0	0.0411922811466214	0	0	0.0291546728780251	0	0	0	0.0291546728780251	0	0	0	0	0	0	0	0	0.0702044154247663	0	0	0	0	0	0	0.0401384755468419	0.0370751478777961	0	0	0	0	0	0.089378905442136	0	0	0	0	0	0	0.0382879271685987	0	0	0	0	0	0	0	0	0.0591554218272724	0.059501969167841	0	0	0	0	0.0450601263859988	0.0506012223310187	0.0415637979938704	0.0454526764961911	0	0.0427410487191454	0.0341435531525254	0	0	0	0
system development	0	0	0	0	0	0	0	0.614609390682698	0	0	0	0.584254171766764	0.729950132235704	0	0.86527286886719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.605225623644873	0.77940360521704	0	0	0	0	0	0	0	0	0.384026429011288	0.432428172307799	0.441993154401033	0.619884172562409	0	0	0	0	0	0	0	0.53456485510136	0	0.53456485510136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385862456056669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315056767177375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.587822312213725	0	0	0	0.594996426904102	0	0	0	0	0	0	0.618675894178933	0	0	0	0	0	0.320471685761137	0.301946458725806	0	0	0.441556073407841	0.295842662543524	0	0	0	0	0	0	0	0.349573852631565	0	0	0	0	0	0	0	0	0	0	0
transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.764032828131552	0.623640974873441	0.467711068901552	0.405874772916132	0	0	0	0	0	0	0.623640974873441	0.56872724973272	0	0	0.313455249803933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.523987159614748	0.503524890977289	0	0.373414444339444	0	0	0	0	0	0	0	0	0	0.378229165926725	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354468110344301	0.380703586499324	0.466293496661481	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356477578186238	0	0.383416264900656	0.349437900695034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.349437900695034	0	0	0	0	0.299806931719928	0	0	0	0	0.303316340204363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.437447433531304	0.391427068792027	0	0	0	0	0	0	0	0.362609091616698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235371858857608	0	0	0	0	0	0
intracellular protein transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.623640974873441	0.876834601329899	0.411063438843126	0.362521572824907	0	0	0	0	0	0	0.876834601329899	0.487102857493454	0	0	0.286953065910158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.453908720905087	0.438473114725542	0	0.336402217964293	0	0	0	0	0	0	0	0	0	0.340304799409417	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320947884680277	0.342306572499027	0.409968053160617	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322594389473258	0	0.344498079448575	0.316818512979114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316818512979114	0	0	0	0	0.275472811089905	0	0	0	0	0.278432837864611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387502073342649	0.350951479603708	0	0	0	0	0	0	0	0.54525199314889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220107300925083	0	0	0	0	0	0
endocytosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.467711068901552	0.411063438843126	0.962139819085844	0.866966616588984	0	0	0	0	0	0	0.411063438843126	0.778558501608477	0	0	0.710281024507644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.365273912464056	0.355211145082639	0	0.285126318809563	0	0	0	0	0	0	0	0	0	0.287924923891939	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273945876612359	0.289356598047117	0.336270104240506	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275144540272611	0	0.290921003336522	0.270931735675427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270931735675427	0	0	0	0	0.240112886040983	0	0	0	0	0.242358683036235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.646680904434613	0.595319688345178	0	0	0	0	0	0	0	0.278783054249596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.562240321212599	0	0	0	0	0	0
receptor-mediated endocytosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405874772916132	0.362521572824907	0.866966616588984	0.981549152339304	0	0	0	0	0	0	0.362521572824907	0.691505751420214	0	0	0.657034359303745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3264332358311	0.318373089704763	0	0.260895011639232	0	0	0	0	0	0	0	0	0	0.263236200449239	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251502849297292	0.264432367295655	0.303072375492455	0	0	0	0	0	0	0	0	0	0	0	0	0	0.252512794870856	0	0.265738266084513	0.248960053490894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248960053490894	0	0	0	0	0.222694841919209	0	0	0	0	0.224625321957803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.585462173078995	0.543046091293387	0	0	0	0	0	0	0	0.25557403141155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528346910099607	0	0	0	0	0	0
cell communication	0	0	0	0	0	0	0	0	0	0.42636029407389	0	0	0	0	0	0	0	0	0	0.676451207092793	0.263302852225644	0.669115071576783	0.529683919527136	0	0	0	0	0.226141487308503	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242628432152652	0.189150261049558	0.403641245475907	0	0	0	0	0	0	0	0	0.145924913075339	0.162715781570503	0.14944998949929	0	0.215241232215196	0.195334430965761	0	0	0	0	0	0	0	0	0	0.28448040471723	0	0	0	0	0.254142120924548	0.247465983167892	0.246341064608042	0	0.16117702729578	0.164731942815484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.451311328570944	0.394934432801202	0	0	0	0	0	0	0	0	0	0.449861194099762	0	0	0.291450154761866	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288979462307682	0	0.247836256195741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218057674003919	0	0	0	0	0.262568019272609	0	0	0	0	0	0	0	0	0.170783841618594	0	0	0	0	0	0	0.228706821483006	0	0	0	0	0	0	0	0	0	0	0.264590917991767	0.234599886132861	0	0.104187315470083	0	0	0	0	0	0	0	0	0	0	0	0	0.112237237800729	0.112237237800729	0	0	0	0	0	0	0	0	0	0	0.0916438876498753	0
cell adhesion	0	0	0	0	0	0	0	0	0	0.299767214773307	0	0	0	0	0	0	0	0	0	0.263302852225644	0.854070568501767	0.261186053750721	0.218540969743266	0	0	0	0	0.755589703791857	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195617533897993	0.159304418431307	0.175581348946205	0	0	0	0	0	0	0	0	0.127496913533186	0.140131130716362	0.13017970022534	0	0.17741702455723	0.163668455930542	0	0	0	0	0	0	0	0	0	0.130444307705535	0	0	0	0	0.118161259506387	0.115412078008101	0.11494717513247	0	0.138988385033183	0.141623886977642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192366526118517	0.172440832547504	0	0	0	0	0	0	0	0	0	0.191865887107788	0	0	0.133218484187899	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132237077394827	0	0.115564997629336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103097324165727	0	0	0	0	0.121606940938695	0	0	0	0	0	0	0	0	0.597388525597949	0	0	0	0	0	0	0.186466357218326	0	0	0	0	0	0	0	0	0	0	0.122430222312835	0.110065805364197	0	0.0944413246901658	0	0	0	0	0	0	0	0	0	0	0	0	0.101008196831279	0.101008196831279	0	0	0	0	0	0	0	0	0	0	0.0840174442929859	0
signal transduction	0	0	0	0	0	0	0	0	0	0.42083742090271	0	0	0	0	0	0	0	0	0	0.669115071576783	0.261186053750721	0.684358713233092	0.542964953140507	0	0	0	0	0.224578260750053	0	0	0	0	0	0	0	0	0	0	0	0	0	0.240829867700322	0.188055380663829	0.414601728509179	0	0	0	0	0	0	0	0	0.145272404034528	0.16190488847041	0.148765648569584	0	0.213824600029814	0.194167008068939	0	0	0	0	0	0	0	0	0	0.292766955426025	0	0	0	0	0.261673036440523	0.254826527639601	0.253672756546599	0	0.160381360925493	0.163900881482314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448034020373965	0.392422494598956	0	0	0	0	0	0	0	0	0	0.461733082899473	0	0	0.299906001736315	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297375479475649	0	0.246844696881943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224650159530221	0	0	0	0	0.270311852565613	0	0	0	0	0	0	0	0	0.169890761322845	0	0	0	0	0	0	0.227108052851481	0	0	0	0	0	0	0	0	0	0	0.263461066313396	0.241627932113377	0	0.103854262630192	0	0	0	0	0	0	0	0	0	0	0	0	0.111850826220524	0.111850826220524	0	0	0	0	0	0	0	0	0	0	0.0913861026592435	0
cell surface receptor linked signal transduction	0	0	0	0	0	0	0	0	0	0.320171380986711	0	0	0	0	0	0	0	0	0	0.529683919527136	0.218540969743266	0.542964953140507	0.826873539807105	0	0	0	0	0.19231126299243	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20410572557206	0.164888748153496	0.358105804769114	0	0	0	0	0	0	0	0	0.131049017354415	0.144433980832056	0.133885035543237	0	0.184371115824528	0.169568600198131	0	0	0	0	0	0	0	0	0	0.263421070421689	0	0	0	0	0.437289457831586	0.232301218072503	0.231342022414649	0	0.143220283590348	0.146020336230168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3808971713079	0.3399416843969	0	0	0	0	0	0	0	0	0	0.721653576522585	0	0	0.269186569186116	0	0	0	0	0	0	0	0	0	0	0	0	0	0.490887843817291	0	0.224995299590291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206958647440447	0	0	0	0	0.450379604459766	0	0	0	0	0	0	0	0	0.150755708974281	0	0	0	0	0	0	0.194163329228613	0	0	0	0	0	0	0	0	0	0	0.238718500305798	0.221282417064703	0	0.0963763413855148	0	0	0	0	0	0	0	0	0	0	0	0	0.103224825710892	0.103224825710892	0	0	0	0	0	0	0	0	0	0	0.0855454271312813	0
blood coagulation	0	0.451575638147491	0.348621028755273	0.290350031118755	0.595078230001676	0	0.48407352547563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97142514826574	0.97142514826574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510980707803292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411921586712776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34716114851184	0	0	0	0	0	0	0	0.414043606366846	0.396085602007093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321932671200196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to external stimulus	0	0.451575638147491	0.348621028755273	0.290350031118755	0.595078230001676	0	0.48407352547563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97142514826574	0.97142514826574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510980707803292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411921586712776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34716114851184	0	0	0	0	0	0	0	0.414043606366846	0.396085602007093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321932671200196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.623640974873441	0.876834601329899	0.411063438843126	0.362521572824907	0	0	0	0	0	0	0.876834601329899	0.487102857493454	0	0	0.286953065910158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.453908720905087	0.438473114725542	0	0.336402217964293	0	0	0	0	0	0	0	0	0	0.340304799409417	0	0	0	0	0	0	0	0	0	0	0	0	0	0.320947884680277	0.342306572499027	0.409968053160617	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322594389473258	0	0.344498079448575	0.316818512979114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.316818512979114	0	0	0	0	0.275472811089905	0	0	0	0	0.278432837864611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387502073342649	0.350951479603708	0	0	0	0	0	0	0	0.54525199314889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.220107300925083	0	0	0	0	0	0
vesicle-mediated transport	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.56872724973272	0.487102857493454	0.778558501608477	0.691505751420214	0	0	0	0	0	0	0.487102857493454	0.912478284310789	0	0	0.553491341711469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.424104124229351	0.410598879788455	0	0.319748558777622	0	0	0	0	0	0	0	0	0	0.323272284680143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305754664376043	0.325078160155939	0.385499088294935	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307248609651114	0	0.327053983194282	0.302004712288793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302004712288793	0	0	0	0	0.264204441533844	0	0	0	0	0.266926061849266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.736458804415031	0.670573319904352	0	0	0	0	0	0	0	0.311792760392176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428804542481603	0	0	0	0	0	0
cell-cell adhesion	0	0	0	0	0	0	0	0	0	0.252523706806995	0	0	0	0	0	0	0	0	0	0.226141487308503	0.755589703791857	0.224578260750053	0.19231126299243	0	0	0	0	0.911639609417121	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174333913336458	0.144898300598659	0.158241164930173	0	0	0	0	0	0	0	0	0.118099595382285	0.128861405201892	0.120397915844363	0	0.15973062867869	0.148499812585515	0	0	0	0	0	0	0	0	0	0.120624217220505	0	0	0	0	0.110045951098348	0.107657612739463	0.107252974650865	0	0.127894439698428	0.130122632814012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171747176709615	0.155685810900034	0	0	0	0	0	0	0	0	0	0.171347999200747	0	0	0.122992633705075	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122155636625735	0	0.107790661710934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0968647291066823	0	0	0	0	0.113028613613258	0	0	0	0	0	0	0	0	0.547477634422649	0	0	0	0	0	0	0.167028558970341	0	0	0	0	0	0	0	0	0	0	0.113739501327453	0.102991106038564	0	0.0891846850887834	0	0	0	0	0	0	0	0	0	0	0	0	0.0950182950524624	0.0950182950524624	0	0	0	0	0	0	0	0	0	0	0.0798314435745425	0
